Loan_ID,Disbursement_Date,Sector,Region,Loan_Amount,Tenure_Months,Interest_Rate,Outstanding_Principal,Days_Past_Due
MSME-00001,2026-03-06,Trading,South,7540000.0,48,17.02,7029326.07,0
MSME-00002,2022-07-09,Household Loan,South,6720000.0,60,11.98,1544784.2,0
MSME-00003,2024-02-16,Education,West,3610000.0,60,14.01,2147484.32,0
MSME-00004,2022-07-31,Services,South,12180000.0,48,11.68,0.0,45
MSME-00005,2024-10-22,Manufacturing,West,9580000.0,48,13.73,5989515.2,120
MSME-00006,2023-11-07,Manufacturing,North,17330000.0,36,11.11,1765342.71,0
MSME-00007,2026-06-27,Manufacturing,West,740000.0,36,17.29,728415.13,0
MSME-00008,2024-03-15,Personal Loan,West,12910000.0,36,14.69,3160978.4,0
MSME-00009,2024-02-08,Agriculture Tech,North,15280000.0,36,16.95,3243047.95,0
MSME-00010,2025-03-18,Education,South,15210000.0,12,11.42,0.0,0
MSME-00011,2025-12-31,Manufacturing,North,17730000.0,12,12.59,8154692.59,0
MSME-00012,2026-04-15,Household Loan,East,14610000.0,60,12.82,14049411.46,0
MSME-00013,2025-07-03,Personal Loan,South,18560000.0,12,13.71,0.0,0
MSME-00014,2023-12-06,Trading,East,6720000.0,12,16.62,0.0,0
MSME-00015,2022-07-16,Manufacturing,North,10110000.0,36,13.71,0.0,0
MSME-00016,2024-05-09,Manufacturing,North,380000.0,36,12.43,112044.25,0
MSME-00017,2023-03-21,Trading,North,240000.0,48,11.45,44876.51,75
MSME-00018,2025-03-26,Services,South,4880000.0,36,11.56,2917214.85,0
MSME-00019,2024-08-20,Trading,South,2110000.0,48,16.32,1256055.26,15
MSME-00020,2023-07-19,Trading,West,5280000.0,48,14.11,1542441.18,0
MSME-00021,2023-04-28,Agriculture Tech,East,3620000.0,12,16.08,0.0,0
MSME-00022,2024-12-30,Manufacturing,South,670000.0,36,15.78,358135.57,0
MSME-00023,2022-11-01,Trading,West,18200000.0,12,11.95,0.0,0
MSME-00024,2024-06-19,Trading,East,260000.0,36,12.0,86960.36,0
MSME-00025,2025-08-29,Services,West,14750000.0,12,16.29,1584692.18,0
MSME-00026,2026-01-02,Education,South,3130000.0,12,16.05,1470387.22,0
MSME-00027,2021-01-31,Manufacturing,South,18250000.0,12,13.65,0.0,0
MSME-00028,2021-09-15,Services,North,17870000.0,60,11.54,415462.31,0
MSME-00029,2024-11-30,Services,East,13110000.0,12,11.08,0.0,0
MSME-00030,2023-02-26,Manufacturing,North,13480000.0,24,13.02,0.0,0
MSME-00031,2023-07-19,Agriculture Tech,South,210000.0,24,11.06,0.0,45
MSME-00032,2022-04-10,Manufacturing,South,19700000.0,24,12.61,0.0,0
MSME-00033,2021-06-05,Manufacturing,South,17570000.0,48,13.94,0.0,0
MSME-00034,2022-10-18,Household Loan,East,17910000.0,12,11.85,0.0,0
MSME-00035,2021-06-11,Household Loan,North,13220000.0,24,11.73,0.0,0
MSME-00036,2025-12-03,Personal Loan,South,6960000.0,48,17.28,6150010.61,120
MSME-00037,2021-03-13,Trading,East,17880000.0,24,15.1,0.0,0
MSME-00038,2024-01-19,Manufacturing,West,5900000.0,36,17.54,1131671.35,0
MSME-00039,2022-10-16,Agriculture Tech,East,11300000.0,60,13.42,3405033.77,0
MSME-00040,2025-08-21,Trading,West,2080000.0,12,15.74,173698.0,0
MSME-00041,2021-05-09,Manufacturing,West,18450000.0,60,12.43,0.0,0
MSME-00042,2022-04-17,Services,South,2900000.0,60,15.33,537768.79,0
MSME-00043,2024-06-09,Manufacturing,North,4580000.0,36,11.91,1485082.53,0
MSME-00044,2022-02-14,Household Loan,East,11210000.0,36,11.01,0.0,0
MSME-00045,2022-01-30,Trading,East,15310000.0,36,17.52,0.0,0
MSME-00046,2022-09-17,Agriculture Tech,East,12430000.0,48,14.88,442421.92,0
MSME-00047,2023-02-17,Trading,South,4720000.0,24,17.49,0.0,0
MSME-00048,2022-04-05,Services,South,120000.0,12,13.34,0.0,0
MSME-00049,2025-04-29,Services,South,15170000.0,36,13.29,9623791.38,0
MSME-00050,2021-04-27,Manufacturing,South,19710000.0,12,13.8,0.0,0
MSME-00051,2025-11-24,Household Loan,North,16220000.0,12,15.94,5832971.16,0
MSME-00052,2024-01-10,Education,West,9260000.0,12,14.96,0.0,0
MSME-00053,2025-01-27,Household Loan,North,18080000.0,36,17.48,10243086.31,0
MSME-00054,2024-10-09,Personal Loan,North,8260000.0,36,11.18,3637844.48,15
MSME-00055,2023-12-11,Services,South,10550000.0,24,15.96,0.0,0
MSME-00056,2023-02-25,Household Loan,East,9590000.0,36,13.31,0.0,0
MSME-00057,2025-11-17,Manufacturing,South,9010000.0,36,12.26,7252541.86,0
MSME-00058,2023-06-19,Manufacturing,South,15530000.0,12,14.57,0.0,0
MSME-00059,2022-12-03,Manufacturing,South,10580000.0,24,14.54,0.0,15
MSME-00060,2023-03-15,Trading,South,6400000.0,60,11.96,2482146.83,0
MSME-00061,2021-03-24,Trading,West,5240000.0,36,12.41,0.0,0
MSME-00062,2025-02-16,Trading,West,850000.0,36,13.86,485889.76,120
MSME-00063,2026-06-29,Personal Loan,South,11710000.0,60,13.86,11619259.76,0
MSME-00064,2026-01-12,Trading,South,4680000.0,12,13.22,2312809.32,0
MSME-00065,2022-02-26,Trading,East,3050000.0,24,12.04,0.0,15
MSME-00066,2021-01-15,Services,North,13110000.0,12,11.03,0.0,0
MSME-00067,2022-03-07,Manufacturing,South,13660000.0,48,17.79,0.0,45
MSME-00068,2025-08-01,Personal Loan,South,15070000.0,36,17.6,10995485.12,0
MSME-00069,2026-06-07,Manufacturing,West,10120000.0,48,14.39,9899432.47,0
MSME-00070,2025-06-09,Household Loan,North,17890000.0,36,17.97,12272044.96,120
MSME-00071,2022-06-30,Education,South,18730000.0,48,15.72,0.0,120
MSME-00072,2025-04-20,Manufacturing,East,16170000.0,60,11.48,12909804.37,45
MSME-00073,2021-04-26,Manufacturing,South,12750000.0,36,11.82,0.0,0
MSME-00074,2023-08-28,Personal Loan,North,6140000.0,36,17.41,173861.03,0
MSME-00075,2022-09-17,Education,West,19660000.0,48,15.41,706185.78,0
MSME-00076,2022-03-11,Education,South,5560000.0,24,16.9,0.0,0
MSME-00077,2021-06-25,Education,East,4130000.0,48,17.29,0.0,0
MSME-00078,2025-01-03,Manufacturing,North,8900000.0,36,14.14,4736698.14,0
MSME-00079,2025-01-14,Trading,South,1230000.0,36,11.34,654446.5,0
MSME-00080,2024-02-10,Manufacturing,South,19570000.0,24,12.32,0.0,0
MSME-00081,2024-05-30,Personal Loan,North,11810000.0,12,11.47,0.0,0
MSME-00082,2023-01-04,Agriculture Tech,North,11180000.0,24,12.32,0.0,45
MSME-00083,2024-02-10,Trading,West,13150000.0,12,13.87,0.0,0
MSME-00084,2021-08-19,Manufacturing,North,9990000.0,36,11.83,0.0,0
MSME-00085,2026-02-09,Trading,North,740000.0,60,12.17,690825.91,0
MSME-00086,2023-06-06,Trading,South,12280000.0,60,14.12,5532136.79,0
MSME-00087,2022-03-07,Education,West,14350000.0,48,13.38,0.0,75
MSME-00088,2021-06-15,Agriculture Tech,North,8390000.0,24,14.27,0.0,0
MSME-00089,2023-02-13,Personal Loan,South,15170000.0,24,14.0,0.0,0
MSME-00090,2024-05-11,Services,North,4620000.0,60,15.51,2997098.06,15
MSME-00091,2022-01-05,Manufacturing,North,4500000.0,12,17.56,0.0,120
MSME-00092,2023-03-03,Education,North,3310000.0,24,11.76,0.0,0
MSME-00093,2025-03-30,Education,West,7500000.0,12,11.69,0.0,0
MSME-00094,2022-06-07,Services,North,16960000.0,12,16.97,0.0,45
MSME-00095,2021-08-28,Education,North,16580000.0,12,14.54,0.0,0
MSME-00096,2023-05-10,Services,South,7720000.0,12,16.36,0.0,0
MSME-00097,2022-03-31,Services,West,11820000.0,48,12.51,0.0,0
